CG_PROD,DES_PROD,CANT,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
1725D9M9HSM1226,"1700 1""x1"" NPT(M)xNPT(H) Tob1"" Std. sellada",1.0,2023-09-16,2023-07-04 09:33:24.087,,61350,,,1049.0
2842H2R1RFM1010,"2800 2""H3"" 300(RF)x150(RF) con Palanca",1.0,2023-09-13,2023-07-03 12:38:48.290,,61348,,,1880.0
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:12.750,,61342,,,719.72
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:13.570,,61343,,,719.72
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:14.290,,61344,,,719.72
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:15.003,,61345,,,719.72
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:15.740,,61346,,,719.72
1816X9M9HSM1110,"1800 1/2""x3/4"" NPT(M)xNPT(H)",1.0,2023-09-12,2023-06-30 14:30:16.430,,61347,,,719.72
1825X9M9HSM1310,"1800 1""x1"" NPT(M)xNPT(H) sellada",1.0,2023-09-12,2023-06-30 14:30:11.690,,61341,,,507.4
2828D3R1RBM3114,"2800 1""D2"" 600(RF)x150(RF)",1.0,2023-09-12,2023-07-17 10:41:10.600,,61429,,,1229.95
2828D3R1RBM3114,"2800 1""D2"" 600(RF)x150(RF)",1.0,2023-09-12,2023-07-17 10:41:11.353,,61430,,,1229.95
2828D3R1RBM3114,"2800 1""D2"" 600(RF)x150(RF)",1.0,2023-09-12,2023-07-17 10:41:11.987,,61431,,,1229.95
2828D3R1RBM3114,"2800 1""D2"" 600(RF)x150(RF)",1.0,2023-09-12,2023-07-17 10:41:12.623,,61432,,,1229.95
2842H3R1RSM1013,"2800 2""H3"" 600(RF)x150(RF) sellada",1.0,2023-09-12,2023-07-17 07:31:32.820,,61433,,,2258.15
2842H3R1RSM1013,"2800 2""H3"" 600(RF)x150(RF) sellada",1.0,2023-09-12,2023-07-17 07:31:33.590,,61434,,,2258.15
2842H3R1RSM1013,"2800 2""H3"" 600(RF)x150(RF) sellada",1.0,2023-09-12,2023-07-17 07:31:34.313,,61435,,,2258.15
2842H3R1RSM1013,"2800 2""H3"" 600(RF)x150(RF) sellada",1.0,2023-09-12,2023-07-17 07:31:35.013,,61436,,,2258.15
