codigos,Tiempos,Cant_piezas,T_Fabricacion,T_Ciclo,maquina
D-15118-T2,2023-06-27 13:50:24.607,4,95.0,15.0,CN4
D-11501-T2,2023-06-27 14:32:31.257,3,42.0,15.0,CN4
D-17601-T1,2023-06-27 15:24:10.287,3,52.0,15.0,CN4
D-17601-T2,2023-06-27 16:51:49.710,2,88.0,15.0,CN4
D-18159-T1,2023-06-27 17:35:07.420,1,43.0,15.0,CN4
D-18072-T1,2023-06-27 18:57:36.793,5,82.0,15.0,CN4
D-18214-T1,2023-06-27 10:37:12.157,2,37.0,18.0,CN4
D-17120-T1,2023-06-28 18:29:19.347,6,312.0,15.0,CN4
D-17120-T2,2023-06-28 18:51:50.607,1,23.0,15.0,CN4
D-15512-T1,2023-06-28 20:02:54.287,1,71.0,15.0,CN4
D-18072-T1,2023-06-28 13:17:38.400,3,198.0,15.0,CN4
D-18067-T1,2023-06-29 17:54:22.360,7,268.0,15.0,CN4
D-18212-T2,2023-06-29 18:58:19.717,1,64.0,15.0,CN4
D-18211-T2,2023-06-29 13:26:22.380,5,206.0,15.0,CN4
D-12720-T1,2023-06-30 16:55:26.093,7,160.0,15.0,CN4
D-12720-T2,2023-06-30 18:59:38.087,5,124.0,15.0,CN4
D-18212-T2,2023-06-30 14:15:36.447,4,256.0,15.0,CN4
D-16593-T1,2023-07-01 15:58:15.583,1,65.0,15.0,CN4
D-12720-T2,2023-07-01 14:53:22.207,5,293.0,15.0,CN4
D-16593-T2,2023-07-03 16:18:44.127,10,253.0,15.0,CN4
D-12692-T1,2023-07-03 18:40:08.227,38,141.0,15.0,CN4
D-12692-T2,2023-07-03 18:55:50.273,2,16.0,15.0,CN4
D-16593-T1,2023-07-03 12:05:30.337,8,126.0,15.0,CN4
D-17821-T1,2023-07-04 12:00:10.743,3,70.0,15.0,CN4
D-15512-T2,2023-07-04 12:17:40.920,3,18.0,6.0,CN4
D-17821-T2,2023-07-04 12:30:06.133,2,12.0,15.0,CN4
D-13134-T1,2023-07-04 13:51:14.467,6,81.0,13.0,CN4
D-13134-T2,2023-07-04 16:16:45.930,6,146.0,15.0,CN4
D-17393-T1,2023-07-04 17:12:20.867,3,56.0,15.0,CN4
D-17393-T1,2023-07-04 18:21:42.840,9,69.0,8.0,CN4
D-17393-T2,2023-07-04 18:54:33.877,2,33.0,15.0,CN4
D-12692-T2,2023-07-04 10:50:21.477,36,50.0,1.0,CN4
D-13078-T2,2023-07-05 12:52:21.540,5,105.0,21.0,CN4
D-13077-T2,2023-07-05 15:30:33.010,3,158.0,51.0,CN4
D-13078,2023-07-05 18:57:30.447,3,207.0,67.0,CN4
D-17393-T2,2023-07-05 11:07:11.443,9,67.0,7.0,CN4
D-12944-T1,2023-07-06 12:22:22.627,2,95.0,15.0,CN4
D-12944-T2,2023-07-06 12:40:43.457,1,18.0,15.0,CN4
D-16600-T1,2023-07-06 14:00:44.403,3,80.0,15.0,CN4
D-16600-T2,2023-07-06 14:22:26.050,1,22.0,15.0,CN4
D-17812,2023-07-06 18:09:20.857,46,227.0,5.0,CN4
D-12798-T1,2023-07-06 18:58:17.723,9,49.0,5.0,CN4
D-12798-T2,2023-07-07 11:13:07.200,10,19.0,15.0,CN4
D-15232-T1,2023-07-07 11:50:31.697,2,37.0,15.0,CN4
D-15232-T2,2023-07-07 12:25:48.257,2,35.0,15.0,CN4
D-12882-T2,2023-07-07 14:39:01.690,6,133.0,15.0,CN4
D-12882-T1,2023-07-07 16:33:27.870,7,114.0,15.0,CN4
D-13542,2023-07-07 17:07:47.167,8,34.0,4.0,CN4
D-13542,2023-07-07 17:52:18.987,11,45.0,4.0,CN4
D-13999,2023-07-07 18:21:06.683,9,29.0,3.0,CN4
D-13994,2023-07-07 18:57:32.667,7,36.0,5.0,CN4
D-12798-T1,2023-07-07 10:54:09.037,2,54.0,15.0,CN4
D-13891-T1,2023-07-10 13:20:36.167,11,159.0,15.0,CN4
D-13891-T2,2023-07-10 16:11:54.490,16,171.0,15.0,CN4
D-13993-T1,2023-07-10 18:55:25.177,9,164.0,15.0,CN4
D-13994,2023-07-10 10:41:09.017,2,41.0,20.0,CN4
D-13993-T2,2023-07-11 13:14:41.557,12,165.0,15.0,CN4
D-12882-T1,2023-07-12 13:22:20.053,19,21.0,1.0,CN4
D-13915,2023-07-12 14:36:09.580,18,74.0,4.0,CN4
D-15867,2023-07-12 15:05:37.333,2,29.0,14.0,CN4
D-13531-T1,2023-07-12 18:58:36.727,21,233.0,11.0,CN4
D-13531-T1,2023-07-13 12:44:12.040,10,164.0,15.0,CN4
D-13101-T2,2023-07-14 15:31:43.833,20,152.0,15.0,CN4
D-13531-T2,2023-07-14 19:00:06.257,23,208.0,15.0,CN4
D-13101-T1,2023-07-14 13:00:00.360,19,180.0,15.0,CN4
