,CG_PROD,DES_PROD,CANT,SIMULTANEO,FE_ENTREGA,FE_EMIT,FE_CIERRE,PEDIDO,FECHA_PREVISTA_FABRICACION,FECHA_INICIO_REAL_FABRICACION,TOT_DOL
3255,2851K1R1RSM3110,"2800 3""K4"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737510,737472,2020-08-07 14:30:17.820,56652,2021-06-17 10:00:00.000,2021-06-17 10:00:00.000,1980.75
3256,2851K1R1RSM3110,"2800 3""K4"" 150(RF)x150(RF) sellada",1.0,[0. 0. 0. ... 0. 0. 0.],737510,737472,2020-08-07 14:30:32.533,56651,2021-06-18 14:00:00.000,2021-06-18 14:00:00.000,1980.75
3257,2842J1R1RFM1010,"2800 2""J3"" 150(RF)x150(RF) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737509,737496,2020-07-01 07:40:12.413,56731,2021-08-26 10:00:00.000,2021-08-26 10:00:00.000,1720.0
3258,3515R4Z1,"AC/R-900 1/2"" BSP-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],737509,737468,2020-09-22 13:12:33.013,56641,2021-02-10 18:00:00.000,2021-02-10 18:00:00.000,768.0
3259,1841X8M7HFM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737506,737488,2020-07-03 15:04:32.493,56699,2024-03-19 14:00:00.000,2024-03-19 14:00:00.000,917.0
3260,1841X8M7HFM1310,"1800 2""x2.1/2"" BSPT(M)xBSP(H) Con Palanca",1.0,[0. 0. 0. ... 0. 0. 0.],737506,737488,2020-07-03 15:04:16.077,56700,2024-03-20 18:00:00.000,2024-03-20 18:00:00.000,917.0
3261,3515C4Z1,"AC-900 1/2"" BSP H-H Punta eje libre giro indistinto",1.0,[0. 0. 0. ... 0. 0. 0.],737503,737468,2020-06-29 15:50:46.857,56639,2021-03-02 14:00:00.000,2021-03-02 14:00:00.000,556.0
3262,1721D9M9HAM1325,"1700 3/4""x1"" NPT(M)xNPT(H) Tob 1""Std.",1.0,[0. 0. 0. ... 0. 0. 0.],737502,737472,2020-06-23 13:49:09.507,56656,2024-02-14 18:00:00.000,2024-02-14 18:00:00.000,421.8
3263,3515R3Z1,AC/R-500 BSP H-H Punta eje libre g.indist.,1.0,[0. 0. 0. ... 0. 0. 0.],737502,737472,2020-07-03 15:26:01.987,56655,2021-03-03 18:00:00.000,2021-03-03 18:00:00.000,605.6
3264,2642J1R1RSM2242,"2600 2""J3"" 150(RF)x150(RF)",1.0,[0. 0. 0. ... 0. 0. 0.],737500,737447,2020-07-29 14:30:04.287,56592,2024-05-08 18:00:00.000,2024-05-08 18:00:00.000,2110.4
